time_s,target_azimuth_deg,target_elevation_deg,imu_roll_deg,imu_pitch_deg,qpd_error_x,qpd_error_y
0.00000,119.92885,29.97796,0.07085,8.17229,-0.01342,0.16665
0.01000,119.91937,30.05879,-0.01396,8.14271,-0.02317,0.16473
0.02000,120.05086,30.22006,0.31214,8.09725,-0.00412,0.16081
0.03000,120.09295,30.11065,-0.03915,8.14387,0.00007,0.15045
0.04000,120.04173,30.18697,0.42111,8.40011,0.00335,0.15349
0.05000,119.89009,30.29131,0.34960,7.99767,0.01596,0.15655
0.06000,119.94519,30.16316,0.19680,7.84678,-0.00721,0.16183
0.07000,120.02428,30.06371,0.66758,8.22264,0.00441,0.17139
0.08000,120.04458,30.12083,0.05608,8.08567,0.00541,0.15329
0.09000,119.93897,30.00500,0.35766,7.62742,0.01894,0.15928
0.10000,119.98943,30.07540,0.70236,8.11357,0.00730,0.16525
0.11000,120.00645,30.06889,0.88313,8.13433,0.02115,0.16309
0.12000,120.03360,30.27556,0.22915,8.12183,0.02794,0.15451
0.13000,120.01184,30.16337,0.93928,7.79576,0.01808,0.15634
0.14000,119.98348,30.11364,0.60488,7.82369,0.02254,0.16770
0.15000,119.95057,30.17553,0.75953,7.61971,0.02248,0.15637
0.16000,120.06363,30.05732,0.60400,7.69181,0.01404,0.15736
0.17000,120.05011,30.01722,0.87113,7.81411,0.01319,0.15408
0.18000,119.87744,30.05858,0.74978,8.12776,0.02109,0.16408
0.19000,120.09559,30.24092,0.95346,7.99053,0.03100,0.15481
0.20000,119.98436,30.14315,1.02261,7.95464,0.04108,0.18843
0.21000,120.00890,30.03520,1.17594,7.89163,0.04850,0.16327
0.22000,120.04595,29.99643,1.12663,7.60024,-0.00626,0.16929
0.23000,120.04038,30.07916,1.23491,7.81609,0.02592,0.13191
0.24000,119.97451,30.03641,1.51959,8.08422,0.01353,0.16149
0.25000,120.08322,30.21872,1.16400,7.78183,0.03827,0.15416
0.26000,119.95572,30.11998,1.14080,8.21169,0.02793,0.16513
0.27000,120.04396,30.07144,1.60108,7.98369,0.02221,0.14989
0.28000,120.05495,30.17654,1.45218,7.82315,-0.00463,0.16048
0.29000,119.95984,30.10334,1.57757,8.16107,0.01342,0.15269
0.30000,120.05494,30.03226,1.62227,7.80468,0.03919,0.16988
0.31000,119.98807,30.16776,1.60580,7.72368,0.04495,0.17819
0.32000,119.88027,30.13063,1.42576,8.02656,0.04518,0.16194
0.33000,119.93399,30.12594,1.58745,7.97035,0.03403,0.14458
0.34000,120.05149,30.10755,1.75107,8.07197,0.02872,0.17887
0.35000,120.09889,30.15078,1.81664,7.91638,0.04026,0.16224
0.36000,120.04637,29.99693,1.67911,7.74326,0.03486,0.16358
0.37000,119.97881,30.13230,1.89634,7.71514,0.03302,0.13742
0.38000,119.92581,30.15081,1.75050,7.93189,0.03243,0.14914
0.39000,119.88161,30.13965,2.03176,7.83584,0.03741,0.16538
0.40000,119.98439,30.02552,2.15413,7.49733,0.04805,0.15489
0.41000,120.00741,30.16770,2.23667,7.63818,0.05208,0.19070
0.42000,120.09255,30.26170,1.94580,7.65391,0.04796,0.15658
0.43000,119.92730,30.10042,2.15234,7.73838,0.03107,0.15478
0.44000,119.93516,30.24871,1.94000,7.48974,0.02578,0.15067
0.45000,119.99023,30.09907,2.10974,7.52404,0.04831,0.16485
0.46000,120.10098,30.15917,2.19542,7.66772,0.02448,0.15973
0.47000,120.15412,30.07487,2.26217,7.86786,0.04945,0.14470
0.48000,120.03698,30.16661,2.25201,7.62241,0.04228,0.14629
0.49000,119.94515,30.00113,2.56392,7.59729,0.06046,0.14733
0.50000,120.03982,30.14517,2.10038,7.49619,0.04719,0.13853
0.51000,120.03224,30.13829,2.41378,7.67207,0.03960,0.15032
0.52000,119.88819,30.13697,2.37426,7.35196,0.04777,0.15164
0.53000,120.04277,30.31079,2.82664,7.50234,0.06341,0.16082
0.54000,119.94007,30.20053,2.68388,7.58252,0.04686,0.15637
0.55000,119.97850,30.21941,2.81983,7.23245,0.06292,0.15263
0.56000,120.06041,30.11734,2.65584,7.62253,0.06780,0.14354
0.57000,120.05583,29.96519,2.69774,7.35123,0.06736,0.15002
0.58000,119.98620,30.11871,2.64830,7.80828,0.06408,0.15334
0.59000,120.02891,30.21564,2.92334,7.48828,0.05063,0.13844
0.60000,120.03298,30.02957,3.21269,7.36210,0.05925,0.15208
0.61000,119.93733,30.12449,2.96029,7.33347,0.07371,0.16353
0.62000,120.01461,30.10281,3.22061,7.45394,0.05786,0.12417
0.63000,120.11755,30.18954,2.95814,7.29610,0.08035,0.14276
0.64000,120.02713,30.17488,2.87025,7.29217,0.06799,0.15208
0.65000,120.04677,30.08142,2.90134,7.44493,0.06127,0.15135
0.66000,120.00960,30.04865,3.08821,7.20818,0.08185,0.14961
0.67000,119.97706,30.25519,3.01418,7.01409,0.08487,0.13246
0.68000,119.90391,30.02726,3.22725,7.28938,0.07398,0.14752
0.69000,120.14137,29.98094,3.39388,7.25038,0.08127,0.16299
0.70000,119.94008,30.23407,3.32572,7.46401,0.09269,0.14494
0.71000,120.01922,30.01755,3.65804,7.18686,0.09572,0.15445
0.72000,120.13134,30.14049,3.47839,7.38170,0.05598,0.14219
0.73000,119.95424,30.11126,3.65822,7.16478,0.06100,0.16393
0.74000,120.04428,30.08945,3.64124,7.13650,0.08123,0.17396
0.75000,120.07010,30.14373,3.48133,7.39920,0.07910,0.14305
0.76000,120.03051,30.07035,3.81038,7.21270,0.08022,0.14847
0.77000,119.98274,30.08981,3.64013,7.08961,0.08255,0.15621
0.78000,119.84898,30.02995,3.61203,6.97441,0.06158,0.12489
0.79000,119.98306,30.21753,3.87142,7.38138,0.07599,0.13934
0.80000,119.94532,30.10461,3.68042,6.81459,0.08284,0.15344
0.81000,120.04388,30.13303,3.98652,7.04729,0.07465,0.14089
0.82000,120.01395,29.99966,4.08482,6.83576,0.08005,0.16369
0.83000,120.00012,30.12197,3.84967,6.99950,0.06413,0.15695
0.84000,119.92091,30.18712,3.97273,6.67314,0.10701,0.14994
0.85000,120.05538,30.19640,3.94647,7.01010,0.08531,0.14635
0.86000,119.95275,30.10296,4.05504,6.80233,0.10162,0.13704
0.87000,120.04814,30.22624,3.94550,7.02077,0.07211,0.12867
0.88000,120.08734,30.05772,4.31970,7.08358,0.09519,0.14339
0.89000,120.12364,30.03982,4.26504,6.89514,0.09658,0.15145
0.90000,119.90373,29.99624,4.28675,6.87896,0.09915,0.15040
0.91000,119.94058,30.20690,4.14674,6.70606,0.11169,0.15428
0.92000,119.99219,29.99679,4.61066,6.93259,0.08495,0.15490
0.93000,119.99515,29.94186,4.56864,6.81622,0.06792,0.15274
0.94000,120.33630,30.03481,4.26587,6.81391,0.10961,0.14395
0.95000,120.11428,29.99648,4.39797,6.59958,0.10230,0.15507
0.96000,120.02351,30.11462,4.57083,6.53010,0.10674,0.15007
0.97000,119.92252,29.95249,4.40141,6.72093,0.10537,0.17230
0.98000,119.97996,30.05022,4.41215,6.80788,0.07726,0.14043
0.99000,119.93966,30.10476,4.90842,6.42723,0.09957,0.13091
1.00000,119.92462,30.06961,4.82545,6.28620,0.11161,0.16770
1.01000,119.95226,30.12692,5.05637,6.53673,0.11512,0.15746
1.02000,119.91204,30.17945,4.71556,6.24685,0.09807,0.16872
1.03000,119.95829,30.20252,4.99429,6.35927,0.12593,0.14304
1.04000,120.10654,30.10411,5.15641,6.34434,0.08188,0.12141
