time_s,target_azimuth_deg,target_elevation_deg,filtered_azimuth_target_deg,filtered_elevation_target_deg,azimuth_deg,elevation_deg,azimuth_motor_pwm,elevation_motor_pwm,roll_filtered_deg,pitch_filtered_deg,qpd_offset_azimuth_deg,qpd_offset_elevation_deg,boresight_error_deg,locked
0.00000,119.92885,29.97796,119.94056,29.98159,0.30888,0.30000,1.00000,1.00000,0.05275,6.08448,0.00738,-0.09166,123.36478,false
0.01000,119.91937,30.05879,119.93046,30.01838,0.61776,0.60000,1.00000,1.00000,0.02307,7.00031,0.05174,-0.08292,123.05260,false
0.02000,120.05086,30.22006,119.97326,30.09007,0.92664,0.90000,1.00000,1.00000,0.11969,7.36698,-0.07393,-0.07277,122.63236,false
0.03000,120.09295,30.11065,120.00928,30.09627,1.23552,1.20000,1.00000,1.00000,0.07501,7.58552,-0.01680,-0.04131,122.36128,false
0.04000,120.04173,30.18697,120.01815,30.12105,1.54440,1.50000,1.00000,1.00000,0.16253,7.79150,-0.01496,-0.09658,122.00159,false
0.05000,119.89009,30.29131,119.98507,30.16502,1.85328,1.80000,1.00000,1.00000,0.20680,7.84029,-0.05922,-0.09834,121.56858,false
0.06000,119.94519,30.16316,119.97510,30.16456,2.16216,2.10000,1.00000,1.00000,0.20453,7.84176,0.09665,-0.11013,121.33624,false
0.07000,120.02428,30.06371,119.98716,30.13982,2.47104,2.40000,1.00000,1.00000,0.30701,7.92606,-0.04891,-0.13250,120.83233,false
0.08000,120.04458,30.12083,120.00109,30.13522,2.77992,2.70000,1.00000,1.00000,0.25235,7.96082,-0.00698,-0.01191,120.54082,false
0.09000,119.93897,30.00500,119.98612,30.10383,3.08880,3.00000,1.00000,1.00000,0.27506,7.88892,-0.06454,-0.11156,120.07000,false
0.10000,119.98943,30.07540,119.98691,30.09700,3.39768,3.30000,1.00000,1.00000,0.36665,7.93707,0.04254,-0.11477,119.80957,false
0.11000,120.00645,30.06889,119.99160,30.09027,3.70656,3.60000,1.00000,1.00000,0.47692,7.97919,-0.06703,-0.08106,119.35177,false
0.12000,120.03360,30.27556,120.00165,30.13461,4.01544,3.90000,1.00000,1.00000,0.42415,8.00957,-0.04253,-0.05066,119.03110,false
0.13000,120.01184,30.16337,120.00409,30.14149,4.32432,4.20000,1.00000,1.00000,0.53371,7.96410,0.02950,-0.09331,118.73296,false
0.14000,119.98348,30.11364,119.99916,30.13483,4.63320,4.50000,1.00000,1.00000,0.54883,7.93426,-0.03024,-0.13767,118.29117,false
0.15000,119.95057,30.17553,119.98755,30.14456,4.94208,4.80000,1.00000,1.00000,0.59358,7.86746,-0.01212,-0.04068,117.95507,false
0.16000,120.06363,30.05732,120.00573,30.12371,5.25097,5.10000,1.00000,1.00000,0.59579,7.83017,0.02604,-0.09051,117.62710,false
0.17000,120.05011,30.01722,120.01633,30.09827,5.55985,5.40000,1.00000,1.00000,0.65423,7.82676,-0.00385,-0.07162,117.24374,false
0.18000,119.87744,30.05858,119.98315,30.08878,5.86873,5.70000,1.00000,1.00000,0.67451,7.89064,-0.04320,-0.13024,116.79461,false
0.19000,120.09559,30.24092,120.01001,30.12513,6.17761,6.00000,1.00000,1.00000,0.73370,7.91184,-0.05669,-0.04807,116.47110,false
0.20000,119.98436,30.14315,120.00388,30.12944,6.48649,6.30000,1.00000,1.00000,0.79501,7.92092,-0.06291,-0.23812,116.05859,false
0.21000,120.00890,30.03520,120.00508,30.10692,6.79537,6.60000,1.00000,1.00000,0.87584,7.91470,-0.05636,0.01084,115.75338,false
0.22000,120.04595,29.99643,120.01485,30.08052,7.10425,6.90000,1.00000,1.00000,0.92905,7.84798,0.22248,-0.11719,115.64161,false
0.23000,120.04038,30.07916,120.02095,30.08020,7.41313,7.20000,1.00000,1.00000,0.99395,7.84121,-0.14298,0.07697,114.96950,false
0.24000,119.97451,30.03641,120.00985,30.06974,7.72201,7.50000,1.00000,1.00000,1.10548,7.89277,0.04212,-0.20714,114.72424,false
0.25000,120.08322,30.21872,120.02738,30.10533,8.03089,7.80000,1.00000,1.00000,1.11790,7.86923,-0.12001,-0.05547,114.25772,false
0.26000,119.95572,30.11998,120.01026,30.10883,8.33977,8.10000,1.00000,1.00000,1.12275,7.94190,0.02600,-0.13470,114.00805,false
0.27000,120.04396,30.07144,120.01831,30.09990,8.64865,8.40000,1.00000,1.00000,1.22424,7.95076,0.01066,-0.02148,113.66566,false
0.28000,120.05495,30.17654,120.02707,30.11821,8.95753,8.70000,1.00000,1.00000,1.27261,7.92369,0.10991,-0.13062,113.39490,false
0.29000,119.95984,30.10334,120.01100,30.11466,9.26641,9.00000,1.00000,1.00000,1.33731,7.97405,-0.07958,-0.05282,112.85119,false
0.30000,120.05494,30.03226,120.02150,30.09497,9.57529,9.30000,1.00000,1.00000,1.39777,7.93812,-0.12463,-0.16219,112.43524,false
0.31000,119.98807,30.16776,120.01351,30.11236,9.88417,9.60000,1.00000,1.00000,1.44191,7.89262,-0.04776,-0.13124,112.15407,false
0.32000,119.88027,30.13063,119.98168,30.11673,10.19305,9.90000,1.00000,1.00000,1.43848,7.92104,-0.02577,-0.02407,111.80598,false
0.33000,119.93399,30.12594,119.97029,30.11893,10.50193,10.20000,1.00000,1.00000,1.47009,7.93150,0.02588,-0.01008,111.49144,false
0.34000,120.05149,30.10755,119.98969,30.11621,10.81081,10.50000,1.00000,1.00000,1.52971,7.96130,0.00544,-0.23554,111.09442,false
0.35000,120.09889,30.15078,120.01578,30.12447,11.11969,10.80000,1.00000,1.00000,1.59059,7.95177,-0.06830,-0.02271,110.73295,false
0.36000,120.04637,29.99693,120.02309,30.09400,11.42857,11.10000,1.00000,1.00000,1.60937,7.90753,0.00243,-0.09533,110.43436,false
0.37000,119.97881,30.13230,120.01251,30.10315,11.73745,11.40000,1.00000,1.00000,1.67026,7.86671,-0.01080,0.02906,110.08055,false
0.38000,119.92581,30.15081,119.99179,30.11454,12.04633,11.70000,1.00000,1.00000,1.68728,7.88054,-0.01548,-0.12891,109.67481,false
0.39000,119.88161,30.13965,119.96547,30.12054,12.35521,12.00000,1.00000,1.00000,1.76037,7.87106,-0.04050,-0.15592,109.26910,false
0.40000,119.98439,30.02552,119.96999,30.09784,12.66409,12.30000,1.00000,1.00000,1.84392,7.79176,-0.06899,-0.04323,108.90934,false
0.41000,120.00741,30.16770,119.97893,30.11453,12.97297,12.60000,1.00000,1.00000,1.92725,7.75917,-0.04476,-0.24813,108.56057,false
0.42000,120.09255,30.26170,120.00608,30.14969,13.28185,12.90000,1.00000,1.00000,1.93119,7.73684,-0.00990,0.05036,108.32258,false
0.43000,119.92730,30.10042,119.98726,30.13792,13.59073,13.20000,1.00000,1.00000,1.97811,7.73717,0.05047,-0.07793,107.98962,false
0.44000,119.93516,30.24871,119.97481,30.16439,13.89961,13.50000,1.00000,1.00000,1.97002,7.68467,0.00698,-0.06643,107.58624,false
0.45000,119.99023,30.09907,119.97849,30.14878,14.20849,13.80000,1.00000,1.00000,1.99967,7.65059,-0.11669,-0.14739,107.10126,false
0.46000,120.10098,30.15917,120.00776,30.15126,14.51737,14.10000,1.00000,1.00000,2.04120,7.65422,0.08186,-0.06737,106.98975,false
0.47000,120.15412,30.07487,120.04273,30.13301,14.82625,14.40000,1.00000,1.00000,2.08809,7.69955,-0.12708,-0.01946,106.47432,false
0.48000,120.03698,30.16661,120.04135,30.14104,15.13514,14.70000,1.00000,1.00000,2.12287,7.68318,0.00543,-0.08682,106.24594,false
0.49000,119.94515,30.00113,120.01837,30.10761,15.44402,15.00000,1.00000,1.00000,2.21645,7.66496,-0.10597,-0.08519,105.76350,false
0.50000,120.03982,30.14517,120.02349,30.11659,15.75290,15.30000,1.00000,1.00000,2.19182,7.62915,0.02713,-0.04099,105.55658,false
0.51000,120.03224,30.13829,120.02558,30.12177,16.06178,15.60000,1.00000,1.00000,2.23892,7.63826,0.00858,-0.12984,105.18222,false
0.52000,119.88819,30.13697,119.99276,30.12540,16.37066,15.90000,1.00000,1.00000,2.26763,7.57751,-0.05895,-0.08868,104.74196,false
0.53000,120.04277,30.31079,120.00471,30.16969,16.67954,16.20000,1.00000,1.00000,2.38624,7.56156,-0.09744,-0.12517,104.37591,false
0.54000,119.94007,30.20053,119.98926,30.17706,16.98842,16.50000,1.00000,1.00000,2.44939,7.56601,0.04043,-0.06820,104.16263,false
0.55000,119.97850,30.21941,119.98669,30.18718,17.29730,16.80000,1.00000,1.00000,2.52799,7.49524,-0.09885,-0.06899,103.68062,false
0.56000,120.06041,30.11734,120.00430,30.17049,17.60618,17.10000,1.00000,1.00000,2.55512,7.52224,-0.05681,-0.04259,103.39689,false
0.57000,120.05583,29.96519,120.01661,30.12144,17.91506,17.40000,1.00000,1.00000,2.58538,7.48596,-0.03529,-0.10843,103.07166,false
0.58000,119.98620,30.11871,120.00935,30.12079,18.22394,17.70000,1.00000,1.00000,2.59873,7.55435,-0.02212,-0.09762,102.73581,false
0.59000,120.02891,30.21564,120.01402,30.14345,18.53282,18.00000,1.00000,1.00000,2.66760,7.54033,0.02595,-0.01654,102.46111,false
0.60000,120.03298,30.02957,120.01855,30.11624,18.84170,18.30000,1.00000,1.00000,2.78326,7.50251,-0.06707,-0.13820,102.01834,false
0.61000,119.93733,30.12449,119.99915,30.11821,19.15058,18.60000,1.00000,1.00000,2.82082,7.46665,-0.09838,-0.13574,101.62799,false
0.62000,120.01461,30.10281,120.00284,30.11453,19.45946,18.90000,1.00000,1.00000,2.90565,7.46395,0.03158,0.08915,101.44974,false
0.63000,120.11755,30.18954,120.03025,30.13245,19.76834,19.20000,1.00000,1.00000,2.91678,7.42834,-0.13415,-0.15288,100.94557,false
0.64000,120.02713,30.17488,120.02950,30.14259,20.07722,19.50000,1.00000,1.00000,2.90691,7.39945,0.01205,-0.12092,100.75356,false
0.65000,120.04677,30.08142,120.03363,30.12798,20.38610,19.80000,1.00000,1.00000,2.90573,7.40910,-0.00682,-0.08032,100.40198,false
0.66000,120.00960,30.04865,120.02789,30.10902,20.69498,20.10000,1.00000,1.00000,2.94445,7.36647,-0.12734,-0.07533,99.93779,false
0.67000,119.97706,30.25519,120.01574,30.14394,21.00386,20.40000,1.00000,1.00000,2.95924,7.29170,-0.05876,-0.00425,99.66673,false
0.68000,119.90391,30.02726,119.98902,30.11607,21.31274,20.70000,1.00000,1.00000,3.01611,7.29121,0.00287,-0.14138,99.35041,false
