time_s,raw_roll_deg,raw_pitch_deg
0.00000,0.19359,7.95760
0.01000,-0.08047,7.59678
0.02000,-0.15078,7.97289
0.03000,0.69671,7.95264
0.04000,0.27775,8.15578
0.05000,0.05477,8.06045
0.06000,0.20667,8.07509
0.07000,-0.11442,7.88185
0.08000,0.35710,8.07774
0.09000,0.38959,8.26985
0.10000,0.79702,8.43391
0.11000,0.32649,8.27172
0.12000,0.74271,7.83294
0.13000,0.63386,7.76081
0.14000,0.38867,7.92425
0.15000,0.72423,7.61532
0.16000,0.61044,7.98469
0.17000,0.87311,8.03174
0.18000,1.00181,8.11791
0.19000,0.90719,7.80925
0.20000,1.00675,8.20897
0.21000,1.18963,7.80127
0.22000,0.85430,8.06606
0.23000,1.13176,7.71800
0.24000,0.96926,7.81241
0.25000,1.39249,8.20851
0.26000,1.47413,7.72585
0.27000,1.24102,7.82069
0.28000,1.38921,8.17499
0.29000,1.22248,7.94569
0.30000,1.57712,7.83041
0.31000,1.73936,7.89124
0.32000,1.30278,8.15865
0.33000,1.44383,7.74178
0.34000,1.94924,8.01715
0.35000,1.62489,7.75919
0.36000,1.76760,7.95070
0.37000,1.78948,7.76446
0.38000,1.85436,8.16423
0.39000,1.79409,7.74086
0.40000,2.18669,7.66230
0.41000,1.77086,7.94711
0.42000,2.15845,7.83389
0.43000,1.88301,7.40708
0.44000,2.15712,7.98435
0.45000,2.07391,7.80023
0.46000,2.58844,7.69235
0.47000,2.53331,7.31560
0.48000,2.28622,7.80039
0.49000,2.34762,7.58550
0.50000,2.28535,7.65050
0.51000,2.31653,7.62642
0.52000,2.61925,7.70656
0.53000,2.99813,7.58299
0.54000,2.62416,7.36693
0.55000,2.70019,7.67461
0.56000,2.31868,7.60885
0.57000,2.96807,7.71012
0.58000,2.91968,7.43854
0.59000,2.78067,7.42367
0.60000,3.08137,7.50503
0.61000,3.08960,7.54509
0.62000,3.12019,7.21209
0.63000,3.31527,7.11065
0.64000,3.15374,7.57932
0.65000,2.92148,7.41793
0.66000,3.20595,7.06625
0.67000,3.06138,7.05807
0.68000,2.90938,7.09231
0.69000,3.36363,7.11231
0.70000,3.45041,7.19175
0.71000,3.60865,7.54833
0.72000,3.51399,7.21214
0.73000,3.59072,7.24360
0.74000,3.69234,7.16745
0.75000,3.67352,7.13193
0.76000,3.65726,7.12907
0.77000,3.79921,6.94782
0.78000,3.71507,7.02917
0.79000,3.66567,7.48299
0.80000,3.80454,7.45093
0.81000,3.83033,6.81240
0.82000,4.20381,7.09887
0.83000,3.97913,6.87862
0.84000,3.94595,6.81670
0.85000,3.98786,6.65842
0.86000,4.12373,6.98996
0.87000,4.58568,6.94982
0.88000,4.10614,7.04442
0.89000,4.58266,6.64041
0.90000,4.41234,6.73512
0.91000,4.37000,7.00704
0.92000,4.55319,6.69561
0.93000,4.45310,6.61288
0.94000,4.68432,6.56596
0.95000,4.54389,6.72997
0.96000,4.71780,6.55878
0.97000,4.40563,6.69140
0.98000,4.76992,6.40042
0.99000,4.51120,6.55266
1.00000,4.69892,6.26754
1.01000,4.75625,6.38073
1.02000,4.74483,6.55586
1.03000,4.93862,6.33040
1.04000,4.89508,6.55701
1.05000,4.86550,6.51159
1.06000,4.87562,6.41817
1.07000,5.08752,5.97921
1.08000,4.84305,6.20117
1.09000,4.70343,6.05293
1.10000,5.06014,6.23200
1.11000,5.28018,6.09211
1.12000,5.12534,6.17920
1.13000,5.43897,6.07734
1.14000,5.27202,5.99329
1.15000,5.39816,5.68361
1.16000,5.57466,6.06300
1.17000,5.58289,6.37283
1.18000,5.53768,6.01415
1.19000,5.28694,5.94783
1.20000,5.68844,6.00970
1.21000,5.40255,5.96149
1.22000,5.31681,5.66733
1.23000,5.58537,5.72305
1.24000,5.72238,5.57384
1.25000,5.46247,5.50332
1.26000,5.67212,5.55233
1.27000,5.75159,5.64276
1.28000,5.67334,5.39671
1.29000,5.55961,5.67419
1.30000,5.74721,5.71219
1.31000,5.89549,5.46011
1.32000,5.93891,5.53539
1.33000,5.70384,4.98504
1.34000,5.82070,5.64212
1.35000,5.92088,5.18986
1.36000,6.15082,5.53471
1.37000,6.07086,5.75744
1.38000,6.17202,5.01888
1.39000,6.17486,5.34120
1.40000,6.18859,4.87568
1.41000,6.09081,5.18954
1.42000,6.58851,5.14974
1.43000,6.33775,5.04424
1.44000,6.08130,5.08074
1.45000,6.49148,5.04475
1.46000,6.41987,5.05019
1.47000,6.50568,4.90595
1.48000,6.47223,4.59031
1.49000,6.41594,4.72877
1.50000,6.94425,4.75253
1.51000,6.58354,4.34688
1.52000,6.24229,4.77027
1.53000,6.48061,4.76057
1.54000,6.78940,4.46164
1.55000,6.85159,4.88772
1.56000,6.65277,4.40895
1.57000,6.56107,4.40053
1.58000,6.48050,4.30451
1.59000,6.63055,4.74348
1.60000,6.74213,4.47899
1.61000,7.04575,4.13869
1.62000,6.69005,4.36216
