time_s,raw_roll_deg,raw_pitch_deg,filtered_roll_deg,filtered_pitch_deg,x_motor_command_mm,y_motor_command_mm,x_position_mm,y_position_mm,residual_roll_deg,residual_pitch_deg,stabilization_error_deg,stable
0.00000,0.19359,7.95760,0.14413,5.92464,-0.57653,-23.69855,-0.04804,-1.97488,0.13212,5.43092,5.43252,false
0.01000,-0.08047,7.59678,0.04419,6.66867,1.82200,-32.00000,0.10779,-4.47697,0.07114,5.54943,5.54988,false
0.02000,-0.15078,7.97289,-0.02098,7.10463,1.38738,-32.00000,0.21443,-6.77056,0.03263,5.41199,5.41209,false
0.03000,0.69671,7.95264,0.18091,7.34318,-4.76142,-32.00000,-0.20023,-8.87301,0.13085,5.12492,5.12659,false
0.04000,0.27775,8.15578,0.20540,7.54866,-1.31134,-32.00000,-0.29282,-10.80026,0.13219,4.84859,4.85039,false
0.05000,0.05477,8.06045,0.16975,7.66977,0.03390,-32.00000,-0.26559,-12.56691,0.10335,4.52804,4.52922,false
0.06000,0.20667,8.07509,0.17814,7.76181,-0.88021,-32.00000,-0.31681,-14.18633,0.09893,4.21523,4.21639,false
0.07000,-0.11442,7.88185,0.11339,7.78838,0.84140,-31.68485,-0.22029,-15.64454,0.05831,3.87724,3.87768,false
0.08000,0.35710,8.07774,0.16647,7.85140,-1.72753,-32.00000,-0.34590,-17.00749,0.08000,3.59953,3.60042,false
0.09000,0.38959,8.26985,0.21459,7.94164,-1.82069,-32.00000,-0.46880,-18.25687,0.09739,3.37743,3.37883,false
0.10000,0.79702,8.43391,0.33942,8.04715,-3.85434,-32.00000,-0.75093,-19.40213,0.15169,3.19662,3.20021,false
0.11000,0.32649,8.27172,0.33666,8.09510,-1.29142,-32.00000,-0.79597,-20.45195,0.13767,2.98211,2.98529,false
0.12000,0.74271,7.83294,0.42315,8.03926,-3.42240,-31.04022,-1.01484,-21.33431,0.16944,2.70568,2.71098,false
0.13000,0.63386,7.76081,0.46797,7.98004,-2.76818,-30.73568,-1.16095,-22.11776,0.17773,2.45060,2.45703,false
0.14000,0.38867,7.92425,0.45112,7.96818,-1.46747,-31.63564,-1.18649,-22.91091,0.15449,2.24045,2.24577,false
0.15000,0.72423,7.61532,0.50912,7.89324,-3.19652,-30.07421,-1.35399,-23.50785,0.17062,2.01628,2.02349,false
0.16000,0.61044,7.98469,0.53063,7.91266,-2.55272,-32.00000,-1.45389,-24.21553,0.16716,1.85877,1.86627,false
0.17000,0.87311,8.03174,0.60332,7.93793,-3.86713,-32.00000,-1.65499,-24.86424,0.18957,1.72187,1.73228,false
0.18000,1.00181,8.11791,0.68789,7.97613,-4.44293,-32.00000,-1.88732,-25.45889,0.21606,1.61141,1.62583,false
0.19000,0.90719,7.80925,0.73443,7.94072,-3.86844,-31.05462,-2.05241,-25.92520,0.22132,1.45942,1.47610,false
0.20000,1.00675,8.20897,0.79221,7.99764,-4.32456,-32.00000,-2.24176,-26.43143,0.23177,1.38978,1.40897,false
0.21000,1.18963,7.80127,0.87654,7.95597,-5.19269,-30.99055,-2.48767,-26.81136,0.25462,1.25313,1.27874,false
0.22000,0.85430,8.06606,0.87182,7.97933,-3.39291,-32.00000,-2.56311,-27.24374,0.23104,1.16839,1.19102,false
0.23000,1.13176,7.71800,0.92697,7.92388,-4.81098,-30.58654,-2.75043,-27.52231,0.23937,1.04330,1.07041,false
0.24000,0.96926,7.81241,0.93595,7.90023,-3.92323,-31.12788,-2.84816,-27.82277,0.22391,0.94454,0.97071,true
0.25000,1.39249,8.20851,1.03281,7.96564,-6.06862,-32.00000,-3.11653,-28.17088,0.25368,0.92292,0.95715,true
0.26000,1.47413,7.72585,1.12645,7.91476,-6.37854,-30.64149,-3.38837,-28.37676,0.27936,0.82057,0.86682,true
0.27000,1.24102,7.82069,1.15076,7.89480,-5.08922,-31.18001,-3.53011,-28.61037,0.26823,0.74221,0.78919,true
0.28000,1.38921,8.17499,1.20135,7.95425,-5.81728,-32.00000,-3.72070,-28.89284,0.27118,0.73104,0.77972,true
0.29000,1.22248,7.94569,1.20584,7.95243,-4.91299,-31.77341,-3.82006,-29.13288,0.25082,0.66921,0.71467,true
0.30000,1.57712,7.83041,1.28461,7.92654,-6.71400,-31.18836,-4.06122,-29.30417,0.26931,0.60050,0.65812,true
0.31000,1.73936,7.89124,1.38110,7.91905,-7.45412,-31.52640,-4.34396,-29.48936,0.29511,0.54671,0.62128,true
