time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,camera_detected,human_detected,laser_enabled
0.00000,119.92885,29.97796,165.40422,125.58834,5.40422,5.58834,0.92020,0.96885,0.92020,0.96885,119.92020,29.96885,119.07362,29.09689,7.36159,9.68851,1.21533,false,true,false,true
0.01000,119.91937,30.05879,164.92075,125.49660,4.92075,5.49660,0.83801,0.95309,0.90276,0.96551,119.97638,30.06239,119.14584,29.19344,7.22208,9.65508,1.20203,false,true,false,true
0.02000,120.05086,30.22006,165.26559,125.86642,5.26559,5.86642,0.89617,1.01659,0.90136,0.97635,120.04720,30.16978,119.21795,29.29107,7.21090,9.76345,1.20822,false,true,false,true
0.03000,120.09295,30.11065,165.09093,124.68331,5.09093,4.68331,0.86817,0.81318,0.89432,0.94173,120.11227,30.23280,119.28949,29.38524,7.15456,9.41726,1.18123,false,true,false,true
0.04000,120.04173,30.18697,164.37666,124.58130,4.37666,4.58130,0.74650,0.79561,0.86296,0.91072,120.15245,30.29597,119.35853,29.47632,6.90364,9.10723,1.14111,false,true,false,true
0.05000,119.89009,30.29131,163.09273,124.65711,3.09273,4.65711,0.52744,0.80867,0.79177,0.88907,120.15029,30.36538,119.42187,29.56522,6.33413,8.89069,1.08206,false,true,false,true
0.06000,119.94519,30.16316,163.04478,123.41679,3.04478,3.41679,0.52034,0.59453,0.73418,0.82658,120.15604,30.39180,119.48060,29.64788,5.87341,8.26575,1.00481,false,true,false,true
0.07000,120.02428,30.06371,163.16321,122.37617,3.16321,2.37617,0.54152,0.41418,0.69330,0.73908,120.17390,30.38696,119.53607,29.72179,5.54640,7.39075,0.92157,false,true,false,true
0.08000,120.04458,30.12083,162.95862,122.28024,2.95862,2.28024,0.50658,0.39753,0.65368,0.66661,120.18975,30.38839,119.58836,29.78845,5.22946,6.66607,0.84947,false,true,false,true
0.09000,119.93897,30.00500,162.03990,121.23744,2.03990,1.23744,0.34971,0.21600,0.58919,0.57100,120.17755,30.35945,119.63550,29.84555,4.71350,5.70998,0.74694,false,true,false,true
0.10000,119.98943,30.07540,162.05925,121.31344,2.05925,1.31344,0.35302,0.22926,0.53908,0.49849,120.17458,30.34404,119.67862,29.89540,4.31263,4.98490,0.66877,false,true,false,true
