time_s,target_azimuth_deg,target_elevation_deg,target_detectable,human_detected
0.00000,120.00000,30.00000,true,false
0.01000,120.00000,30.00000,true,false
0.02000,120.00000,30.00000,true,false
0.03000,120.00000,30.00000,true,false
0.04000,120.00000,30.00000,true,false
0.05000,120.00000,30.00000,true,false
0.06000,120.00000,30.00000,true,false
0.07000,120.00000,30.00000,true,false
0.08000,120.00000,30.00000,true,false
0.09000,120.00000,30.00000,true,false
0.10000,120.00000,30.00000,true,false
0.11000,120.00000,30.00000,true,false
0.12000,120.00000,30.00000,true,false
0.13000,120.00000,30.00000,true,false
0.14000,120.00000,30.00000,true,false
0.15000,120.00000,30.00000,true,false
0.16000,120.00000,30.00000,true,false
0.17000,120.00000,30.00000,true,false
0.18000,120.00000,30.00000,true,false
0.19000,120.00000,30.00000,true,false
0.20000,120.00000,30.00000,true,false
0.21000,120.00000,30.00000,true,false
0.22000,120.00000,30.00000,true,false
0.23000,120.00000,30.00000,true,false
0.24000,120.00000,30.00000,true,false
0.25000,120.00000,30.00000,true,false
0.26000,120.00000,30.00000,true,false
0.27000,120.00000,30.00000,true,false
0.28000,120.00000,30.00000,true,false
0.29000,120.00000,30.00000,true,false
0.30000,120.00000,30.00000,true,false
0.31000,120.00000,30.00000,true,false
0.32000,120.00000,30.00000,true,false
0.33000,120.00000,30.00000,true,false
0.34000,120.00000,30.00000,true,false
0.35000,120.00000,30.00000,true,false
0.36000,120.00000,30.00000,true,false
0.37000,120.00000,30.00000,true,false
0.38000,120.00000,30.00000,true,false
0.39000,120.00000,30.00000,true,false
0.40000,120.00000,30.00000,true,false
0.41000,120.00000,30.00000,true,false
0.42000,120.00000,30.00000,true,false
0.43000,120.00000,30.00000,true,false
0.44000,120.00000,30.00000,true,false
0.45000,120.00000,30.00000,true,false
0.46000,120.00000,30.00000,true,false
0.47000,120.00000,30.00000,true,false
0.48000,120.00000,30.00000,true,false
0.49000,120.00000,30.00000,true,false
0.50000,120.00000,30.00000,true,false
0.51000,120.00000,30.00000,true,false
0.52000,120.00000,30.00000,true,false
0.53000,120.00000,30.00000,true,false
0.54000,120.00000,30.00000,true,false
0.55000,120.00000,30.00000,true,false
0.56000,120.00000,30.00000,true,false
0.57000,120.00000,30.00000,true,false
0.58000,120.00000,30.00000,true,false
0.59000,120.00000,30.00000,true,false
0.60000,120.00000,30.00000,true,false
0.61000,120.00000,30.00000,true,false
0.62000,120.00000,30.00000,true,false
0.63000,120.00000,30.00000,true,false
0.64000,120.00000,30.00000,true,false
0.65000,120.00000,30.00000,true,false
0.66000,120.00000,30.00000,true,false
0.67000,120.00000,30.00000,true,false
0.68000,120.00000,30.00000,true,false
0.69000,120.00000,30.00000,true,false
0.70000,120.00000,30.00000,true,false
0.71000,120.00000,30.00000,true,false
0.72000,120.00000,30.00000,true,false
0.73000,120.00000,30.00000,true,false
0.74000,120.00000,30.00000,true,false
0.75000,120.00000,30.00000,true,false
0.76000,120.00000,30.00000,true,false
0.77000,120.00000,30.00000,true,false
0.78000,120.00000,30.00000,true,false
0.79000,120.00000,30.00000,true,false
0.80000,120.00000,30.00000,true,false
0.81000,120.00000,30.00000,true,false
0.82000,120.00000,30.00000,true,false
0.83000,120.00000,30.00000,true,false
0.84000,120.00000,30.00000,true,false
0.85000,120.00000,30.00000,true,false
0.86000,120.00000,30.00000,true,false
0.87000,120.00000,30.00000,true,false
0.88000,120.00000,30.00000,true,false
0.89000,120.00000,30.00000,true,false
0.90000,120.00000,30.00000,true,false
0.91000,120.00000,30.00000,true,false
0.92000,120.00000,30.00000,true,false
0.93000,120.00000,30.00000,true,false
0.94000,120.00000,30.00000,true,false
0.95000,120.00000,30.00000,true,false
0.96000,120.00000,30.00000,true,false
0.97000,120.00000,30.00000,true,false
0.98000,120.00000,30.00000,true,false
0.99000,120.00000,30.00000,true,false
1.00000,120.00000,30.00000,true,false
1.01000,120.00000,30.00000,true,false
1.02000,120.00000,30.00000,true,false
1.03000,120.00000,30.00000,true,false
1.04000,120.00000,30.00000,true,false
1.05000,120.00000,30.00000,true,false
1.06000,120.00000,30.00000,true,false
1.07000,120.00000,30.00000,true,false
1.08000,120.00000,30.00000,true,false
1.09000,120.00000,30.00000,true,false
1.10000,120.00000,30.00000,true,false
1.11000,120.00000,30.00000,true,false
1.12000,120.00000,30.00000,true,false
1.13000,120.00000,30.00000,true,false
1.14000,120.00000,30.00000,true,false
1.15000,120.00000,30.00000,true,false
1.16000,120.00000,30.00000,true,false
1.17000,120.00000,30.00000,true,false
1.18000,120.00000,30.00000,true,false
1.19000,120.00000,30.00000,true,false
1.20000,120.00000,30.00000,true,false
1.21000,120.00000,30.00000,true,false
1.22000,120.00000,30.00000,true,false
1.23000,120.00000,30.00000,true,false
1.24000,120.00000,30.00000,true,false
1.25000,120.00000,30.00000,true,false
1.26000,120.00000,30.00000,true,false
1.27000,120.00000,30.00000,true,false
1.28000,120.00000,30.00000,true,false
1.29000,120.00000,30.00000,true,false
1.30000,120.00000,30.00000,true,false
1.31000,120.00000,30.00000,true,false
1.32000,120.00000,30.00000,true,false
1.33000,120.00000,30.00000,true,false
1.34000,120.00000,30.00000,true,false
1.35000,120.00000,30.00000,true,false
1.36000,120.00000,30.00000,true,false
1.37000,120.00000,30.00000,true,false
1.38000,120.00000,30.00000,true,false
1.39000,120.00000,30.00000,true,false
1.40000,120.00000,30.00000,true,false
1.41000,120.00000,30.00000,true,false
1.42000,120.00000,30.00000,true,false
1.43000,120.00000,30.00000,true,false
1.44000,120.00000,30.00000,true,false
1.45000,120.00000,30.00000,true,false
1.46000,120.00000,30.00000,true,false
1.47000,120.00000,30.00000,true,false
1.48000,120.00000,30.00000,true,false
1.49000,120.00000,30.00000,true,false
1.50000,120.00000,30.00000,true,false
1.51000,120.00000,30.00000,true,false
1.52000,120.00000,30.00000,true,false
1.53000,120.00000,30.00000,true,false
1.54000,120.00000,30.00000,true,false
1.55000,120.00000,30.00000,true,false
1.56000,120.00000,30.00000,true,false
1.57000,120.00000,30.00000,true,false
1.58000,120.00000,30.00000,true,false
1.59000,120.00000,30.00000,true,false
1.60000,120.00000,30.00000,true,false
1.61000,120.00000,30.00000,true,false
1.62000,120.00000,30.00000,true,false
1.63000,120.00000,30.00000,true,false
1.64000,120.00000,30.00000,true,false
1.65000,120.00000,30.00000,true,false
1.66000,120.00000,30.00000,true,false
1.67000,120.00000,30.00000,true,false
1.68000,120.00000,30.00000,true,false
1.69000,120.00000,30.00000,true,false
1.70000,120.00000,30.00000,true,false
1.71000,120.00000,30.00000,true,false
1.72000,120.00000,30.00000,true,false
1.73000,120.00000,30.00000,true,false
1.74000,120.00000,30.00000,true,false
1.75000,120.00000,30.00000,true,false
1.76000,120.00000,30.00000,true,false
1.77000,120.00000,30.00000,true,false
1.78000,120.00000,30.00000,true,false
1.79000,120.00000,30.00000,true,false
1.80000,120.00000,30.00000,true,false
1.81000,120.00000,30.00000,true,false
1.82000,120.00000,30.00000,true,false
1.83000,120.00000,30.00000,true,false
1.84000,120.00000,30.00000,true,false
1.85000,120.00000,30.00000,true,false
1.86000,120.00000,30.00000,true,false
1.87000,120.00000,30.00000,true,false
1.88000,120.00000,30.00000,true,false
1.89000,120.00000,30.00000,true,false
1.90000,120.00000,30.00000,true,false
1.91000,120.00000,30.00000,true,false
1.92000,120.00000,30.00000,true,false
1.93000,120.00000,30.00000,true,false
1.94000,120.00000,30.00000,true,false
1.95000,120.00000,30.00000,true,false
1.96000,120.00000,30.00000,true,false
1.97000,120.00000,30.00000,true,false
1.98000,120.00000,30.00000,true,false
1.99000,120.00000,30.00000,true,false
2.00000,120.00000,30.00000,true,false
2.01000,120.00000,30.00000,true,false
2.02000,120.00000,30.00000,true,false
2.03000,120.00000,30.00000,true,false
2.04000,120.00000,30.00000,true,false
2.05000,120.00000,30.00000,true,false
2.06000,120.00000,30.00000,true,false
2.07000,120.00000,30.00000,true,false
2.08000,120.00000,30.00000,true,false
2.09000,120.00000,30.00000,true,false
2.10000,120.00000,30.00000,true,false
2.11000,120.00000,30.00000,true,false
2.12000,120.00000,30.00000,true,false
2.13000,120.00000,30.00000,true,false
2.14000,120.00000,30.00000,true,false
2.15000,120.00000,30.00000,true,false
2.16000,120.00000,30.00000,true,false
2.17000,120.00000,30.00000,true,false
2.18000,120.00000,30.00000,true,false
2.19000,120.00000,30.00000,true,false
2.20000,120.00000,30.00000,true,false
2.21000,120.00000,30.00000,true,false
2.22000,120.00000,30.00000,true,false
2.23000,120.00000,30.00000,true,false
2.24000,120.00000,30.00000,true,false
2.25000,120.00000,30.00000,true,false
2.26000,120.00000,30.00000,true,false
2.27000,120.00000,30.00000,true,false
2.28000,120.00000,30.00000,true,false
2.29000,120.00000,30.00000,true,false
2.30000,120.00000,30.00000,true,false
2.31000,120.00000,30.00000,true,false
2.32000,120.00000,30.00000,true,false
2.33000,120.00000,30.00000,true,false
2.34000,120.00000,30.00000,true,false
2.35000,120.00000,30.00000,true,false
2.36000,120.00000,30.00000,true,false
2.37000,120.00000,30.00000,true,false
2.38000,120.00000,30.00000,true,false
2.39000,120.00000,30.00000,true,false
2.40000,120.00000,30.00000,true,false
2.41000,120.00000,30.00000,true,false
2.42000,120.00000,30.00000,true,false
2.43000,120.00000,30.00000,true,false
2.44000,120.00000,30.00000,true,false
2.45000,120.00000,30.00000,true,false
2.46000,120.00000,30.00000,true,false
2.47000,120.00000,30.00000,true,false
2.48000,120.00000,30.00000,true,false
2.49000,120.00000,30.00000,true,false
2.50000,120.00000,30.00000,true,false
2.51000,120.00000,30.00000,true,false
2.52000,120.00000,30.00000,true,false
2.53000,120.00000,30.00000,true,false
2.54000,120.00000,30.00000,true,false
2.55000,120.00000,30.00000,true,false
2.56000,120.00000,30.00000,true,false
2.57000,120.00000,30.00000,true,false
2.58000,120.00000,30.00000,true,false
2.59000,120.00000,30.00000,true,false
2.60000,120.00000,30.00000,true,false
2.61000,120.00000,30.00000,true,false
2.62000,120.00000,30.00000,true,false
2.63000,120.00000,30.00000,true,false
2.64000,120.00000,30.00000,true,false
2.65000,120.00000,30.00000,true,false
2.66000,120.00000,30.00000,true,false
2.67000,120.00000,30.00000,true,false
2.68000,120.00000,30.00000,true,false
2.69000,120.00000,30.00000,true,false
2.70000,120.00000,30.00000,true,false
2.71000,120.00000,30.00000,true,false
2.72000,120.00000,30.00000,true,false
2.73000,120.00000,30.00000,true,false
2.74000,120.00000,30.00000,true,false
2.75000,120.00000,30.00000,true,false
2.76000,120.00000,30.00000,true,false
2.77000,120.00000,30.00000,true,false
2.78000,120.00000,30.00000,true,false
2.79000,120.00000,30.00000,true,false
2.80000,120.00000,30.00000,true,false
2.81000,120.00000,30.00000,true,false
2.82000,120.00000,30.00000,true,false
2.83000,120.00000,30.00000,true,false
2.84000,120.00000,30.00000,true,false
2.85000,120.00000,30.00000,true,false
2.86000,120.00000,30.00000,true,false
2.87000,120.00000,30.00000,true,false
2.88000,120.00000,30.00000,true,false
2.89000,120.00000,30.00000,true,false
2.90000,120.00000,30.00000,true,false
2.91000,120.00000,30.00000,true,false
2.92000,120.00000,30.00000,true,false
2.93000,120.00000,30.00000,true,false
2.94000,120.00000,30.00000,true,false
2.95000,120.00000,30.00000,true,false
2.96000,120.00000,30.00000,true,false
2.97000,120.00000,30.00000,true,false
2.98000,120.00000,30.00000,true,false
2.99000,120.00000,30.00000,true,false
3.00000,120.00000,30.00000,true,false
3.01000,120.00000,30.00000,true,false
3.02000,120.00000,30.00000,true,false
3.03000,120.00000,30.00000,true,false
3.04000,120.00000,30.00000,true,false
3.05000,120.00000,30.00000,true,false
3.06000,120.00000,30.00000,true,false
3.07000,120.00000,30.00000,true,false
3.08000,120.00000,30.00000,true,false
3.09000,120.00000,30.00000,true,false
3.10000,120.00000,30.00000,true,false
3.11000,120.00000,30.00000,true,false
3.12000,120.00000,30.00000,true,false
3.13000,120.00000,30.00000,true,false
3.14000,120.00000,30.00000,true,false
3.15000,120.00000,30.00000,true,false
3.16000,120.00000,30.00000,true,false
3.17000,120.00000,30.00000,true,false
3.18000,120.00000,30.00000,true,false
3.19000,120.00000,30.00000,true,false
3.20000,120.00000,30.00000,true,false
3.21000,120.00000,30.00000,true,false
3.22000,120.00000,30.00000,true,false
3.23000,120.00000,30.00000,true,false
3.24000,120.00000,30.00000,true,false
3.25000,120.00000,30.00000,true,false
3.26000,120.00000,30.00000,true,false
3.27000,120.00000,30.00000,true,false
3.28000,120.00000,30.00000,true,false
3.29000,120.00000,30.00000,true,false
3.30000,120.00000,30.00000,true,false
3.31000,120.00000,30.00000,true,false
3.32000,120.00000,30.00000,true,false
3.33000,120.00000,30.00000,true,false
3.34000,120.00000,30.00000,true,false
3.35000,120.00000,30.00000,true,false
3.36000,120.00000,30.00000,true,false
3.37000,120.00000,30.00000,true,false
3.38000,120.00000,30.00000,true,false
3.39000,120.00000,30.00000,true,false
3.40000,120.00000,30.00000,true,false
3.41000,120.00000,30.00000,true,false
3.42000,120.00000,30.00000,true,false
3.43000,120.00000,30.00000,true,false
3.44000,120.00000,30.00000,true,false
3.45000,120.00000,30.00000,true,false
3.46000,120.00000,30.00000,true,false
3.47000,120.00000,30.00000,true,false
3.48000,120.00000,30.00000,true,false
3.49000,120.00000,30.00000,true,false
