time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,track_success,camera_detected,search_mode,human_detected,laser_enabled
0.00000,120.00000,30.00000,165.81818,125.71429,5.81818,5.71429,0.99048,0.99048,0.99048,0.99048,119.99048,29.99048,119.07924,29.09905,7.92381,9.90476,1.27475,false,false,true,false,false,true
0.01000,120.00000,30.00000,165.35716,125.14830,5.35716,5.14830,0.91286,0.89322,0.97401,0.96984,120.05325,30.06889,119.15716,29.19603,7.79206,9.69841,1.25094,false,false,true,false,false,true
0.02000,120.00000,30.00000,164.90380,124.59410,4.90380,4.59410,0.83639,0.79781,0.94481,0.93334,120.10197,30.12937,119.23274,29.28937,7.55847,9.33341,1.20878,false,false,true,false,false,true
0.03000,120.00000,30.00000,164.46404,124.06077,4.46404,4.06077,0.76206,0.70582,0.90603,0.88507,120.13878,30.17443,119.30523,29.37787,7.24827,8.85067,1.15296,false,false,true,false,false,true
0.04000,120.00000,30.00000,164.04232,123.55501,4.04232,3.55501,0.69066,0.61844,0.86034,0.82850,120.16556,30.20637,119.37405,29.46072,6.88269,8.28495,1.08742,false,false,true,false,false,true
0.05000,120.00000,30.00000,163.64187,123.08159,3.64187,3.08159,0.62273,0.53651,0.80992,0.76654,120.18398,30.22726,119.43885,29.53738,6.47938,7.66542,1.01546,false,false,true,false,false,true
0.06000,120.00000,30.00000,163.26489,122.64356,3.26489,2.64356,0.55868,0.46059,0.75661,0.70163,120.19546,30.23900,119.49938,29.60754,6.05292,7.01625,0.93983,false,true,true,false,false,true
0.07000,120.00000,30.00000,162.91272,122.24264,2.91272,2.24264,0.49875,0.39099,0.70190,0.63572,120.20128,30.24326,119.55553,29.67111,5.61522,6.35717,0.86275,false,true,true,false,false,true
0.08000,120.00000,30.00000,162.58602,121.87937,2.58602,1.87937,0.44304,0.32783,0.64698,0.57039,120.20250,30.24150,119.60729,29.72815,5.17581,5.70390,0.78601,false,true,true,false,false,true
0.09000,120.00000,30.00000,162.28488,121.55343,2.28488,1.55343,0.39159,0.27107,0.59279,0.50688,120.20008,30.23503,119.65471,29.77884,4.74232,5.06882,0.71101,false,true,true,false,false,true
0.10000,120.00000,30.00000,162.00896,121.26379,2.00896,1.26379,0.34442,0.22061,0.54009,0.44614,120.19480,30.22498,119.69792,29.82345,4.32074,4.46141,0.63884,false,true,true,false,false,true
0.11000,120.00000,30.00000,161.75757,121.00885,1.75757,1.00885,0.30142,0.17616,0.48945,0.38886,120.18737,30.21231,119.73707,29.86234,3.91561,3.88857,0.57030,false,true,true,false,false,true
0.12000,120.00000,30.00000,161.52976,120.78664,1.52976,0.78664,0.26242,0.13740,0.44128,0.33550,120.17835,30.19784,119.77238,29.89589,3.53025,3.35504,0.50596,false,true,true,false,false,true
0.13000,120.00000,30.00000,161.32436,120.59493,1.32436,0.59493,0.22725,0.10394,0.39587,0.28637,120.16824,30.18226,119.80405,29.92452,3.16695,2.86371,0.44617,false,true,true,false,false,true
0.14000,120.00000,30.00000,161.14010,120.43129,1.14010,0.43129,0.19568,0.07537,0.35339,0.24160,120.15744,30.16613,119.83232,29.94869,2.82714,2.41601,0.39113,false,true,true,false,false,true
0.15000,120.00000,30.00000,160.97561,120.29323,0.97561,0.29323,0.16748,0.05125,0.31395,0.20121,120.14626,30.14990,119.85743,29.96881,2.51157,2.01214,0.34091,false,true,true,false,false,true
0.16000,120.00000,30.00000,160.82949,120.17825,0.82949,0.17825,0.14242,0.03116,0.27755,0.16513,120.13498,30.13394,119.87964,29.98532,2.22042,1.65132,0.29545,false,true,true,false,false,true
0.17000,120.00000,30.00000,160.70030,120.08389,0.70030,0.08389,0.12026,0.01467,0.24418,0.13321,120.12381,30.11853,119.89917,29.99864,1.95342,1.33207,0.25463,false,true,true,false,false,true
0.18000,120.00000,30.00000,160.58664,120.00777,0.58664,0.00777,0.10076,0.00136,0.21375,0.10523,120.11292,30.10387,119.91627,30.00916,1.70998,1.05232,0.21827,false,true,true,false,false,true
0.19000,120.00000,30.00000,160.48715,119.94764,0.48715,-0.05236,0.08368,-0.00916,0.18615,0.08096,120.10242,30.09012,119.93116,30.00916,1.48920,0.00000,0.18943,true,true,true,false,false,true
