time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,track_success,camera_detected,search_mode,human_detected,laser_enabled
0.00000,20.00000,30.00000,165.81818,125.71429,5.81818,5.71429,0.99048,0.99048,0.99048,0.99048,19.99048,29.99048,19.07924,29.09905,7.92381,9.90476,1.27475,false,false,true,false,false,true
0.01000,20.03000,30.00000,165.53171,125.14830,5.53171,5.14830,0.94260,0.89322,0.98032,0.96984,20.05956,30.06889,19.15766,29.19603,7.84255,9.69841,1.25511,false,false,true,false,false,true
0.02000,20.06000,30.00000,165.24996,124.59410,5.24996,4.59410,0.89543,0.79781,0.96231,0.93334,20.11997,30.12937,19.23465,29.28937,7.69845,9.33341,1.22041,false,false,true,false,false,true
0.03000,20.09000,30.00000,164.97659,124.06077,4.97659,4.06077,0.84956,0.70582,0.93839,0.88507,20.17303,30.17443,19.30972,29.37787,7.50708,8.85067,1.17466,false,false,true,false,false,true
0.04000,20.12000,30.00000,164.71436,123.55501,4.71436,3.55501,0.80548,0.61844,0.91019,0.82850,20.21990,30.20637,19.38253,29.46072,7.28149,8.28495,1.12124,false,false,true,false,false,true
0.05000,20.15000,30.00000,164.46526,123.08159,4.46526,3.08159,0.76318,0.53627,0.87900,0.76649,20.26153,30.22721,19.45285,29.53737,7.03196,7.66491,1.06294,false,false,true,false,false,true
0.06000,20.18000,30.00000,164.23067,122.64359,4.23067,2.64359,0.72330,0.46018,0.84596,0.70150,20.29881,30.23887,19.52053,29.60752,6.76768,7.01500,1.00216,false,false,true,false,false,true
0.07000,20.21000,30.00000,164.01146,122.24274,4.01146,2.24274,0.68601,0.39051,0.81202,0.63552,20.33255,30.24304,19.58549,29.67107,6.49619,6.35515,0.94087,false,true,true,false,false,true
0.08000,20.24000,30.00000,163.80805,121.87958,3.80805,1.87958,0.65139,0.32736,0.77794,0.57013,20.36343,30.24120,19.64773,29.72809,6.22353,5.70132,0.88064,false,true,true,false,false,true
0.09000,20.27000,30.00000,163.62050,121.55380,3.62050,1.55380,0.61946,0.27068,0.74431,0.50660,20.39204,30.23468,19.70727,29.77875,5.95451,5.06596,0.82267,false,true,true,false,false,true
0.10000,20.30000,30.00000,163.44860,121.26431,3.44860,1.26431,0.59017,0.22030,0.71161,0.44585,20.41888,30.22460,19.76420,29.82333,5.69287,4.45851,0.76787,false,true,true,false,false,true
0.11000,20.33000,30.00000,163.29192,121.00954,3.29192,1.00954,0.56347,0.17594,0.68018,0.38858,20.44438,30.21191,19.81862,29.86219,5.44142,3.88583,0.71686,false,true,true,false,false,true
0.12000,20.36000,30.00000,163.14987,120.78749,3.14987,0.78749,0.53925,0.13727,0.65028,0.33526,20.46889,30.19745,19.87064,29.89571,5.20221,3.35260,0.67004,false,true,true,false,false,true
0.13000,20.39000,30.00000,163.02174,120.59592,3.02174,0.59592,0.51740,0.10389,0.62208,0.28617,20.49272,30.18188,19.92040,29.92433,4.97667,2.86169,0.62760,false,true,true,false,false,true
0.14000,20.42000,30.00000,162.90674,120.43239,2.90674,0.43239,0.49778,0.07539,0.59571,0.24145,20.51611,30.16578,19.96806,29.94848,4.76567,2.41447,0.58956,false,true,true,false,false,true
0.15000,20.45000,30.00000,162.80401,120.29442,2.80401,0.29442,0.48025,0.05134,0.57121,0.20111,20.53927,30.14959,20.01376,29.96859,4.56969,2.01111,0.55581,false,true,true,false,false,true
0.16000,20.48000,30.00000,162.71268,120.17950,2.71268,0.17950,0.46466,0.03131,0.54860,0.16508,20.56236,30.13367,20.05765,29.98510,4.38883,1.65083,0.52613,false,true,true,false,false,true
