time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,track_success,camera_detected,search_mode,human_detected,laser_enabled
0.00000,120.00000,45.00000,165.81818,125.71429,5.81818,5.71429,0.99048,0.99048,0.99048,0.99048,119.99048,44.99048,119.07924,44.09905,7.92381,9.90476,1.27475,false,false,true,false,false,true
0.01000,120.00000,45.01833,165.35716,125.25302,5.35716,5.25302,0.91270,0.91123,0.97397,0.97366,120.05321,45.07271,119.15716,44.19641,7.79179,9.73662,1.25332,false,false,true,false,false,true
0.02000,120.00000,45.03665,164.90382,124.80136,4.90382,4.80136,0.83610,0.83351,0.94472,0.94393,120.10188,45.14034,119.23273,44.29081,7.55776,9.43926,1.21537,false,false,true,false,false,true
0.03000,120.00000,45.05498,164.46410,124.36669,4.46410,4.36669,0.76168,0.75861,0.90588,0.90461,120.13862,45.19541,119.30520,44.38127,7.24707,9.04606,1.16508,false,false,true,false,false,true
0.04000,120.00000,45.07330,164.04245,123.95450,4.04245,3.95450,0.69022,0.68748,0.86012,0.85854,120.16533,45.23980,119.37401,44.46712,6.88099,8.58536,1.10599,false,false,true,false,false,true
0.05000,120.00000,45.09163,163.64210,123.56862,3.64210,3.56862,0.62226,0.62079,0.80966,0.80809,120.18367,45.27521,119.43879,44.54793,6.47724,8.08093,1.04105,false,false,true,false,false,true
0.06000,120.00000,45.10996,163.26524,123.21158,3.26524,3.21158,0.55821,0.55902,0.75630,0.75524,120.19509,45.30317,119.49929,44.62345,6.05044,7.55245,0.97271,false,true,true,false,false,true
0.07000,120.00000,45.12828,162.91322,122.88473,2.91322,2.88473,0.49830,0.50240,0.70156,0.70160,120.20085,45.32505,119.55542,44.69361,5.61250,7.01597,0.90294,false,true,true,false,false,true
0.08000,120.00000,45.14661,162.58667,122.58853,2.58667,2.58853,0.44267,0.45104,0.64663,0.64843,120.20205,45.34205,119.60715,44.75846,5.17304,6.48434,0.83336,false,true,true,false,false,true
0.09000,120.00000,45.16493,162.28569,122.32272,2.28569,2.32272,0.39133,0.40490,0.59246,0.59676,120.19961,45.35522,119.65454,44.81813,4.73970,5.96762,0.76522,false,true,true,false,false,true
0.10000,120.00000,45.18326,162.00993,122.08643,2.00993,2.08643,0.34426,0.36386,0.53980,0.54734,120.19434,45.36548,119.69773,44.87287,4.31839,5.47345,0.69949,false,true,true,false,false,true
