time_s,target_azimuth_deg,target_elevation_deg,target_detectable,human_detected
0.00000,120.00000,35.00000,true,false
0.01000,120.00785,35.00838,true,false
0.02000,120.01571,35.01676,true,false
0.03000,120.02356,35.02513,true,false
0.04000,120.03142,35.03351,true,false
0.05000,120.03927,35.04189,true,false
0.06000,120.04712,35.05027,true,false
0.07000,120.05498,35.05864,true,false
0.08000,120.06283,35.06702,true,false
0.09000,120.07069,35.07540,true,false
0.10000,120.07854,35.08377,true,false
0.11000,120.08639,35.09215,true,false
0.12000,120.09425,35.10053,true,false
0.13000,120.10210,35.10891,true,false
0.14000,120.10995,35.11728,true,false
0.15000,120.11781,35.12566,true,false
0.16000,120.12566,35.13404,true,false
0.17000,120.13351,35.14241,true,false
0.18000,120.14137,35.15079,true,false
0.19000,120.14922,35.15916,true,false
0.20000,120.15707,35.16754,true,false
0.21000,120.16493,35.17592,true,false
0.22000,120.17278,35.18429,true,false
0.23000,120.18063,35.19267,true,false
0.24000,120.18848,35.20104,true,false
0.25000,120.19634,35.20942,true,false
0.26000,120.20419,35.21779,true,false
0.27000,120.21204,35.22616,true,false
0.28000,120.21989,35.23454,true,false
0.29000,120.22775,35.24291,true,false
0.30000,120.23560,35.25129,true,false
0.31000,120.24345,35.25966,true,false
0.32000,120.25130,35.26803,true,false
0.33000,120.25915,35.27641,true,false
0.34000,120.26700,35.28478,true,false
0.35000,120.27485,35.29315,true,false
0.36000,120.28271,35.30152,true,false
0.37000,120.29056,35.30989,true,false
0.38000,120.29841,35.31826,true,false
0.39000,120.30626,35.32663,true,false
0.40000,120.31411,35.33501,true,false
0.41000,120.32196,35.34338,true,false
0.42000,120.32981,35.35174,true,false
0.43000,120.33766,35.36011,true,false
0.44000,120.34551,35.36848,true,false
0.45000,120.35336,35.37685,true,false
0.46000,120.36120,35.38522,true,false
0.47000,120.36905,35.39359,true,false
0.48000,120.37690,35.40195,true,false
0.49000,120.38475,35.41032,true,false
0.50000,120.39260,35.41869,true,false
0.51000,120.40045,35.42705,true,false
0.52000,120.40829,35.43542,true,false
0.53000,120.41614,35.44378,true,false
0.54000,120.42399,35.45215,true,false
0.55000,120.43183,35.46051,true,false
0.56000,120.43968,35.46888,true,false
0.57000,120.44753,35.47724,true,false
0.58000,120.45537,35.48560,true,false
0.59000,120.46322,35.49396,true,false
0.60000,120.47106,35.50232,true,false
0.61000,120.47891,35.51068,true,false
0.62000,120.48675,35.51905,true,false
0.63000,120.49460,35.52740,true,false
0.64000,120.50244,35.53576,true,false
0.65000,120.51029,35.54412,true,false
0.66000,120.51813,35.55248,true,false
0.67000,120.52597,35.56084,true,false
0.68000,120.53382,35.56919,true,false
0.69000,120.54166,35.57755,true,false
0.70000,120.54950,35.58591,true,false
0.71000,120.55734,35.59426,true,false
0.72000,120.56519,35.60261,true,false
0.73000,120.57303,35.61097,true,false
0.74000,120.58087,35.61932,true,false
0.75000,120.58871,35.62767,true,false
0.76000,120.59655,35.63602,true,false
0.77000,120.60439,35.64437,true,false
0.78000,120.61223,35.65272,true,false
0.79000,120.62007,35.66107,true,false
0.80000,120.62791,35.66942,true,false
0.81000,120.63574,35.67777,true,false
0.82000,120.64358,35.68612,true,false
0.83000,120.65142,35.69446,true,false
0.84000,120.65926,35.70281,true,false
0.85000,120.66709,35.71115,true,false
0.86000,120.67493,35.71950,true,false
0.87000,120.68276,35.72784,true,false
0.88000,120.69060,35.73618,true,false
0.89000,120.69844,35.74453,true,false
0.90000,120.70627,35.75287,true,false
0.91000,120.71410,35.76121,true,false
0.92000,120.72194,35.76955,true,false
0.93000,120.72977,35.77788,true,false
0.94000,120.73760,35.78622,true,false
0.95000,120.74544,35.79456,true,false
0.96000,120.75327,35.80289,true,false
0.97000,120.76110,35.81123,true,false
0.98000,120.76893,35.81956,true,false
0.99000,120.77676,35.82790,true,false
1.00000,120.78459,35.83623,true,false
1.01000,120.79242,35.84456,true,false
1.02000,120.80025,35.85289,true,false
1.03000,120.80808,35.86122,true,false
1.04000,120.81591,35.86955,true,false
1.05000,120.82373,35.87787,true,false
1.06000,120.83156,35.88620,true,false
1.07000,120.83939,35.89453,true,false
1.08000,120.84721,35.90285,true,false
1.09000,120.85504,35.91117,true,false
1.10000,120.86286,35.91950,true,false
1.11000,120.87069,35.92782,true,false
1.12000,120.87851,35.93614,true,false
1.13000,120.88634,35.94446,true,false
1.14000,120.89416,35.95278,true,false
1.15000,120.90198,35.96109,true,false
1.16000,120.90980,35.96941,true,false
1.17000,120.91762,35.97773,true,false
1.18000,120.92544,35.98604,true,false
1.19000,120.93326,35.99435,true,false
1.20000,120.94108,36.00267,true,false
1.21000,120.94890,36.01098,true,false
1.22000,120.95672,36.01929,true,false
1.23000,120.96454,36.02760,true,false
1.24000,120.97235,36.03590,true,false
1.25000,120.98017,36.04421,true,false
1.26000,120.98799,36.05251,true,false
1.27000,120.99580,36.06082,true,false
1.28000,121.00362,36.06912,true,false
1.29000,121.01143,36.07742,true,false
1.30000,121.01924,36.08572,true,false
1.31000,121.02706,36.09402,true,false
1.32000,121.03487,36.10232,true,false
1.33000,121.04268,36.11062,true,false
1.34000,121.05049,36.11892,true,false
1.35000,121.05830,36.12721,true,false
1.36000,121.06611,36.13550,true,false
1.37000,121.07392,36.14380,true,false
1.38000,121.08173,36.15209,true,false
1.39000,121.08954,36.16038,true,false
1.40000,121.09734,36.16866,true,false
1.41000,121.10515,36.17695,true,false
1.42000,121.11295,36.18524,true,false
1.43000,121.12076,36.19352,true,false
1.44000,121.12856,36.20180,true,false
1.45000,121.13637,36.21009,true,false
1.46000,121.14417,36.21837,true,false
1.47000,121.15197,36.22665,true,false
1.48000,121.15977,36.23492,true,false
1.49000,121.16757,36.24320,true,false
1.50000,121.17537,36.25148,true,false
1.51000,121.18317,36.25975,true,false
1.52000,121.19097,36.26802,true,false
1.53000,121.19877,36.27629,true,false
1.54000,121.20657,36.28456,true,false
1.55000,121.21436,36.29283,true,false
1.56000,121.22216,36.30110,true,false
1.57000,121.22995,36.30936,true,false
1.58000,121.23775,36.31763,true,false
1.59000,121.24554,36.32589,true,false
1.60000,121.25333,36.33415,true,false
1.61000,121.26112,36.34241,true,false
