time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,track_success,camera_detected,search_mode,human_detected,laser_enabled
0.00000,120.00000,35.00000,165.81818,125.71429,5.81818,5.71429,0.99048,0.99048,0.99048,0.99048,119.99048,34.99048,119.07924,34.09905,7.92381,9.90476,1.27475,false,false,true,false,false,true
0.01000,120.00785,35.00838,165.40286,125.19617,5.40286,5.19617,0.92057,0.90145,0.97564,0.97159,120.05488,35.07064,119.15729,34.19621,7.80516,9.71588,1.25312,false,false,true,false,false,true
0.02000,120.01571,35.01676,164.99443,124.68885,4.99443,4.68885,0.85171,0.81414,0.94935,0.93818,120.10664,35.13439,119.23324,34.29002,7.59479,9.38180,1.21482,false,false,true,false,false,true
0.03000,120.02356,35.02513,164.59825,124.20062,4.59825,4.20062,0.78479,0.72996,0.91443,0.89400,120.14767,35.18403,119.30639,34.37942,7.31547,8.94001,1.16410,false,false,true,false,false,true
0.04000,120.03142,35.03351,164.21832,123.73763,4.21832,3.73763,0.72051,0.65001,0.87329,0.84223,120.17968,35.22166,119.37626,34.46365,6.98629,8.42232,1.10457,false,false,true,false,false,true
0.05000,120.03927,35.04189,163.85754,123.30423,3.85754,3.30423,0.65936,0.57506,0.82790,0.78554,120.20415,35.24919,119.44249,34.54220,6.62318,7.85544,1.03921,false,false,true,false,false,true
0.06000,120.04712,35.05027,163.51789,122.90322,3.51789,2.90322,0.60171,0.50560,0.77991,0.72615,120.22239,35.26835,119.50488,34.61482,6.23925,7.26147,0.97053,false,true,true,false,false,true
0.07000,120.05498,35.05864,163.20057,122.53615,3.20057,2.53615,0.54777,0.44195,0.73065,0.66585,120.23553,35.28066,119.56333,34.68140,5.84522,6.65847,0.90054,false,true,true,false,false,true
0.08000,120.06283,35.06702,162.90618,122.20353,2.90618,2.20353,0.49767,0.38420,0.68122,0.60609,120.24455,35.28749,119.61783,34.74201,5.44974,6.06088,0.83086,false,true,true,false,false,true
0.09000,120.07069,35.07540,162.63480,121.90507,2.63480,1.90507,0.45136,0.33229,0.63245,0.54799,120.25028,35.29000,119.66842,34.79681,5.05959,5.47995,0.76275,false,true,true,false,false,true
0.10000,120.07854,35.08377,162.38612,121.63980,2.38612,1.63980,0.40889,0.28611,0.58501,0.49243,120.25344,35.28924,119.71523,34.84605,4.68012,4.92428,0.69720,false,true,true,false,false,true
