time_s,target_azimuth_deg,target_elevation_deg,target_detectable,human_detected
0.00000,120.00000,30.00000,true,false
0.01000,120.00419,30.00419,true,false
0.02000,120.00838,30.00838,true,false
0.03000,120.01257,30.01257,true,false
0.04000,120.01676,30.01676,true,false
0.05000,120.02094,30.02094,true,false
0.06000,120.02513,30.02513,true,false
0.07000,120.02932,30.02932,true,false
0.08000,120.03351,30.03351,true,false
0.09000,120.03770,30.03770,true,false
0.10000,120.04189,30.04189,true,false
0.11000,120.04608,30.04607,true,false
0.12000,120.05026,30.05026,true,false
0.13000,120.05445,30.05445,true,false
0.14000,120.05864,30.05864,true,false
0.15000,120.06283,30.06283,true,false
0.16000,120.06702,30.06702,true,false
0.17000,120.07121,30.07120,true,false
0.18000,120.07539,30.07539,true,false
0.19000,120.07958,30.07958,true,false
0.20000,120.08377,30.08376,true,false
0.21000,120.08796,30.08795,true,false
0.22000,120.09215,30.09214,true,false
0.23000,120.09633,30.09633,true,false
0.24000,120.10052,30.10051,true,false
0.25000,120.10471,30.10470,true,false
0.26000,120.10890,30.10888,true,false
0.27000,120.11308,30.11307,true,false
0.28000,120.11727,30.11726,true,false
0.29000,120.12146,30.12144,true,false
0.30000,120.12564,30.12563,true,false
0.31000,120.12983,30.12981,true,false
0.32000,120.13402,30.13400,true,false
0.33000,120.13820,30.13818,true,false
0.34000,120.14239,30.14237,true,false
0.35000,120.14657,30.14655,true,false
0.36000,120.15076,30.15073,true,false
0.37000,120.15495,30.15492,true,false
0.38000,120.15913,30.15910,true,false
0.39000,120.16332,30.16328,true,false
0.40000,120.16750,30.16746,true,false
0.41000,120.17169,30.17165,true,false
0.42000,120.17587,30.17583,true,false
0.43000,120.18006,30.18001,true,false
0.44000,120.18424,30.18419,true,false
0.45000,120.18843,30.18837,true,false
0.46000,120.19261,30.19255,true,false
0.47000,120.19679,30.19673,true,false
0.48000,120.20098,30.20091,true,false
0.49000,120.20516,30.20509,true,false
0.50000,120.20934,30.20927,true,false
0.51000,120.21353,30.21345,true,false
0.52000,120.21771,30.21763,true,false
