time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,track_success,camera_detected,search_mode,human_detected,laser_enabled
0.00000,120.00000,30.00000,165.81818,125.71429,5.81818,5.71429,0.99048,0.99048,0.99048,0.99048,119.99048,29.99048,119.07924,29.09905,7.92381,9.90476,1.27475,false,false,true,false,false,true
0.01000,120.00419,30.00419,165.38153,125.17224,5.38153,5.17224,0.91698,0.89734,0.97488,0.97071,120.05412,30.06976,119.15723,29.19612,7.79905,9.70715,1.25206,false,false,true,false,false,true
0.02000,120.00838,30.00838,164.95214,124.64148,4.95214,4.64148,0.84456,0.80598,0.94723,0.93576,120.10446,30.13188,119.23301,29.28970,7.57785,9.35761,1.21190,false,false,true,false,false,true
0.03000,120.01257,30.01257,164.53562,124.13069,4.53562,4.13069,0.77419,0.71789,0.91052,0.88953,120.14352,30.17923,119.30585,29.37865,7.28413,8.89535,1.15872,false,false,true,false,false,true
0.04000,120.01676,30.01676,164.13618,123.64632,4.13618,3.64632,0.70659,0.63423,0.86725,0.83536,120.17310,30.21401,119.37523,29.46219,6.93798,8.35365,1.09628,false,false,true,false,false,true
0.05000,120.02094,30.02094,163.75689,123.19291,3.75689,3.19291,0.64228,0.55579,0.81951,0.77604,120.19474,30.23823,119.44079,29.53979,6.55611,7.76044,1.02775,false,false,true,false,false,true
0.06000,120.02513,30.02513,163.39982,122.77339,3.39982,2.77339,0.58164,0.48310,0.76904,0.71389,120.20983,30.25368,119.50231,29.61118,6.15235,7.13888,0.95571,false,true,true,false,false,true
0.07000,120.02932,30.02932,163.06623,122.38939,3.06623,2.38939,0.52491,0.41648,0.71724,0.65078,120.21956,30.26196,119.55969,29.67626,5.73795,6.50785,0.88231,false,true,true,false,false,true
0.08000,120.03351,30.03351,162.75676,122.04144,2.75676,2.04144,0.47218,0.35602,0.66525,0.58824,120.22494,30.26450,119.61291,29.73508,5.32198,5.88243,0.80924,false,true,true,false,false,true
0.09000,120.03770,30.03770,162.47148,121.72924,2.47148,1.72924,0.42347,0.30168,0.61395,0.52744,120.22686,30.26252,119.66203,29.78783,4.91159,5.27441,0.73782,false,true,true,false,false,true
0.10000,120.04189,30.04189,162.21009,121.45178,2.21009,1.45178,0.37881,0.25336,0.56406,0.46929,120.22609,30.25711,119.70715,29.83475,4.51246,4.69288,0.66909,false,true,true,false,false,true
0.11000,120.04608,30.04607,161.97192,121.20755,1.97192,1.20755,0.33809,0.21080,0.51611,0.41444,120.22327,30.24920,119.74844,29.87620,4.12890,4.14442,0.60381,false,true,true,false,false,true
0.12000,120.05026,30.05026,161.75606,120.99466,1.75606,0.99466,0.30116,0.17368,0.47050,0.36336,120.21895,30.23956,119.78608,29.91253,3.76404,3.63359,0.54251,false,true,true,false,false,true
0.13000,120.05445,30.05445,161.56143,120.81096,1.56143,0.81096,0.26785,0.14164,0.42751,0.31632,120.21359,30.22885,119.82028,29.94417,3.42004,3.16315,0.48552,false,true,true,false,false,true
0.14000,120.05864,30.05864,161.38681,120.65414,1.38681,0.65414,0.23795,0.11428,0.38728,0.27345,120.20757,30.21761,119.85127,29.97151,3.09828,2.73447,0.43303,false,true,true,false,false,true
0.15000,120.06283,30.06283,161.23092,120.52181,1.23092,0.52181,0.21124,0.09118,0.34993,0.23477,120.20120,30.20628,119.87926,29.99499,2.79946,2.34774,0.38508,false,true,true,false,false,true
0.16000,120.06702,30.06702,161.09241,120.41159,1.09241,0.41159,0.18750,0.07193,0.31547,0.20022,120.19473,30.19521,119.90450,30.01501,2.52374,2.00222,0.34162,false,true,true,false,false,true
